"STATION","NAME","DATE","PRCP","TMAX","TMIN"
"ASN00014015","DARWIN AIRPORT, AS","2000-03-22","0.17","89","77"
"ASN00014015","DARWIN AIRPORT, AS","2000-03-23","0.76","90","76"
"ASN00014015","DARWIN AIRPORT, AS","2000-03-24","0.22","90","75"
"ASN00014015","DARWIN AIRPORT, AS","2000-03-25","0.17","89","76"
"ASN00014015","DARWIN AIRPORT, AS","2000-03-26","0.21","91","76"
"ASN00014015","DARWIN AIRPORT, AS","2000-03-27","0.25","88","75"
"ASN00014015","DARWIN AIRPORT, AS","2000-03-28","0.06","90","76"
"ASN00014015","DARWIN AIRPORT, AS","2000-03-29","0.23","91","74"
"ASN00014015","DARWIN AIRPORT, AS","2000-03-30","0.52","91","71"
"ASN00014015","DARWIN AIRPORT, AS","2000-03-31","0.00","89","76"
"ASN00014015","DARWIN AIRPORT, AS","2000-04-01","0.13","90","76"
"ASN00014015","DARWIN AIRPORT, AS","2000-04-02","0.50","90","74"
"ASN00014015","DARWIN AIRPORT, AS","2000-04-03","0.95","90","72"
"ASN00014015","DARWIN AIRPORT, AS","2000-04-04","0.14","90","78"
"ASN00014015","DARWIN AIRPORT, AS","2000-04-05","0.23","88","75"
"ASN00014015","DARWIN AIRPORT, AS","2000-04-06","0.03","85","77"
"ASN00014015","DARWIN AIRPORT, AS","2000-04-07","0.01","87","75"
"ASN00014015","DARWIN AIRPORT, AS","2000-04-08","0.28","88","76"
"ASN00014015","DARWIN AIRPORT, AS","2000-04-09","2.00","89","75"
"ASN00014015","DARWIN AIRPORT, AS","2000-04-10","0.19","85","75"
"ASN00014015","DARWIN AIRPORT, AS","2000-04-11","4.86","89","74"
"ASN00014015","DARWIN AIRPORT, AS","2000-04-12","0.03","91","76"
"ASN00014015","DARWIN AIRPORT, AS","2000-04-13","0.21","90","74"
"ASN00014015","DARWIN AIRPORT, AS","2000-04-14","0.20","90","76"
"ASN00014015","DARWIN AIRPORT, AS","2000-04-15","0.04","90","75"
"ASN00014015","DARWIN AIRPORT, AS","2000-04-16","0.02","92","77"
"ASN00014015","DARWIN AIRPORT, AS","2000-04-17","0.00","86","77"
"ASN00014015","DARWIN AIRPORT, AS","2000-04-18","0.02","89","76"
"ASN00014015","DARWIN AIRPORT, AS","2000-04-19","0.35","84","76"
"ASN00014015","DARWIN AIRPORT, AS","2000-04-20","0.19","91","76"
"ASN00014015","DARWIN AIRPORT, AS","2000-04-21","0.05","91","76"
"ASN00014015","DARWIN AIRPORT, AS","2000-04-22","0.00","90","76"
"ASN00014015","DARWIN AIRPORT, AS","2000-04-23","0.00","89","77"
"ASN00014015","DARWIN AIRPORT, AS","2000-04-24","0.00","87","76"
"ASN00014015","DARWIN AIRPORT, AS","2000-04-25","1.35","87","73"
"ASN00014015","DARWIN AIRPORT, AS","2000-04-26","0.24","85","73"
"ASN00014015","DARWIN AIRPORT, AS","2000-04-27","0.00","90","74"
"ASN00014015","DARWIN AIRPORT, AS","2000-04-28","0.00","90","76"
"ASN00014015","DARWIN AIRPORT, AS","2000-04-29","0.09","90","75"
"ASN00014015","DARWIN AIRPORT, AS","2000-04-30","0.00","91","74"
"ASN00014015","DARWIN AIRPORT, AS","2000-05-01","0.00","91","72"
"ASN00014015","DARWIN AIRPORT, AS","2000-05-02","0.20","86","72"
"ASN00014015","DARWIN AIRPORT, AS","2000-05-03","0.00","88","72"
"ASN00014015","DARWIN AIRPORT, AS","2000-05-04","0.00","86","71"
"ASN00014015","DARWIN AIRPORT, AS","2000-05-05","0.00","87","70"
"ASN00014015","DARWIN AIRPORT, AS","2000-05-06","0.00","86","69"
"ASN00014015","DARWIN AIRPORT, AS","2000-05-07","0.00","88","70"
"ASN00014015","DARWIN AIRPORT, AS","2000-05-08","0.00","89","69"
"ASN00014015","DARWIN AIRPORT, AS","2000-05-09","0.00","89","73"
"ASN00014015","DARWIN AIRPORT, AS","2000-05-10","0.02","91","72"
"ASN00014015","DARWIN AIRPORT, AS","2000-05-11","0.00","90","74"
"ASN00014015","DARWIN AIRPORT, AS","2000-05-12","0.00","89","76"
"ASN00014015","DARWIN AIRPORT, AS","2000-05-13","0.00","91","74"
"ASN00014015","DARWIN AIRPORT, AS","2000-05-14","0.12","91","73"
"ASN00014015","DARWIN AIRPORT, AS","2000-05-15","0.00","90","76"
"ASN00014015","DARWIN AIRPORT, AS","2000-05-16","0.00","88","71"
"ASN00014015","DARWIN AIRPORT, AS","2000-05-17","0.00","88","69"
"ASN00014015","DARWIN AIRPORT, AS","2000-05-18","0.00","88","71"
"ASN00014015","DARWIN AIRPORT, AS","2000-05-19","0.00","88","70"
"ASN00014015","DARWIN AIRPORT, AS","2000-05-20","0.00","90","70"
"ASN00014015","DARWIN AIRPORT, AS","2000-05-21","0.00","89","72"
"ASN00014015","DARWIN AIRPORT, AS","2000-05-22","0.00","90","71"
"ASN00014015","DARWIN AIRPORT, AS","2000-05-23","0.00","90","75"
"ASN00014015","DARWIN AIRPORT, AS","2000-05-24","0.00","90","74"
"ASN00014015","DARWIN AIRPORT, AS","2000-05-25","0.00","92","75"
